Date,Open,High,Low,Close,Volume,Adj Close
2016-03-11,45.14,45.14,45.14,45.14,000,45.14
2016-03-10,45.14,45.14,45.14,45.14,000,45.14
2016-03-09,45.60,45.60,45.60,45.60,000,45.60
2016-03-08,45.235,45.235,45.235,45.235,000,45.235
2016-03-07,45.965,45.965,45.965,45.965,000,45.965
2016-03-04,45.82,45.82,45.82,45.82,000,45.82
2016-03-03,45.51,45.51,45.51,45.51,000,45.51
2016-03-02,44.50,44.50,44.50,44.50,000,44.50
2016-03-01,42.57,42.57,42.57,42.57,000,42.57
2016-02-29,42.08,42.08,42.08,42.08,000,42.08
2016-02-26,41.795,42.54,41.795,42.54,000,42.54
2016-02-25,40.025,40.025,40.025,40.025,000,40.025
2016-02-24,40.255,40.255,40.255,40.255,000,40.255
2016-02-23,41.44,41.44,41.44,41.44,000,41.44
2016-02-22,40.475,40.475,40.475,40.475,000,40.475
2016-02-19,40.63,40.63,40.63,40.63,000,40.63
2016-02-18,41.73,41.73,41.73,41.73,000,41.73
2016-02-17,40.14,40.14,40.14,40.14,000,40.14
2016-02-16,40.655,40.655,40.655,40.655,000,40.655
2016-02-15,40.15,40.15,40.15,40.15,000,40.15
2016-02-12,37.635,37.635,37.635,37.635,000,37.635
2016-02-11,39.01,39.01,39.01,39.01,000,39.01
2016-02-10,38.035,38.035,38.035,38.035,000,38.035
2016-02-09,38.76,38.76,38.76,38.76,000,38.76
2016-02-08,41.39,41.39,41.39,41.39,000,41.39
2016-02-05,39.225,39.225,39.225,39.225,000,39.225
2016-02-04,40.155,40.155,40.155,40.155,000,40.155
2016-02-03,40.605,40.605,40.605,40.605,000,40.605
2016-02-02,42.865,42.865,42.865,42.865,000,42.865
2016-02-01,43.425,43.425,43.425,43.425,000,43.425
2016-01-29,43.54,43.54,43.54,43.54,000,43.54
2016-01-28,43.405,43.405,43.405,43.405,000,43.405
2016-01-27,43.855,43.855,43.855,43.855,000,43.855
2016-01-26,42.16,42.16,42.16,42.16,000,42.16
2016-01-25,44.70,44.70,44.70,44.70,000,44.70
2016-01-22,44.10,44.10,44.10,44.10,000,44.10
2016-01-21,42.82,42.82,42.82,42.82,000,42.82
2016-01-20,43.03,43.03,43.03,43.03,000,43.03
2016-01-19,44.88,44.88,44.62,44.62,300,44.62
2016-01-18,45.035,45.035,45.035,45.035,000,45.035
2016-01-15,46.865,46.865,46.865,46.865,000,46.865
2016-01-14,48.05,48.05,48.045,48.045,000,48.045
2016-01-13,49.435,49.435,49.435,49.435,000,49.435
2016-01-12,48.075,48.075,48.075,48.075,000,48.075
2016-01-11,47.225,47.225,47.225,47.225,000,47.225
2016-01-08,49.58,49.58,49.58,49.58,000,49.58
2016-01-07,48.595,48.595,48.595,48.595,000,48.595
2016-01-06,50.83,50.83,50.83,50.83,000,50.83
2016-01-05,51.25,51.25,51.25,51.25,000,51.25
2016-01-04,50.84,50.84,50.84,50.84,000,50.84
2016-01-01,52.73,52.73,52.73,52.73,000,52.73
2015-12-31,52.73,52.73,52.73,52.73,000,52.73
2015-12-30,52.73,52.73,52.73,52.73,000,52.73
2015-12-29,52.64,52.64,52.64,52.64,000,52.64
2015-12-28,53.24,53.24,53.24,53.24,000,53.24
2015-12-25,53.07,53.07,53.07,53.07,000,53.07
2015-12-24,53.07,53.07,53.07,53.07,000,53.07
2015-12-23,53.07,53.07,53.07,53.07,000,53.07
2015-12-22,53.11,53.11,53.11,53.11,000,53.11
2015-12-21,52.76,52.76,52.76,52.76,000,52.76
2015-12-18,52.87,52.87,52.87,52.87,000,52.87
2015-12-17,52.85,52.85,52.85,52.85,000,52.85
2015-12-16,52.40,52.40,52.40,52.40,000,52.40
2015-12-15,50.75,50.75,50.75,50.75,000,50.75
2015-12-14,51.30,51.30,51.30,51.30,000,51.30
2015-12-11,52.23,52.23,52.23,52.23,000,52.23
2015-12-10,51.87,51.87,51.87,51.87,000,51.87
2015-12-09,52.94,52.94,52.94,52.94,000,52.94
2015-12-08,53.60,53.60,53.60,53.60,000,53.60
2015-12-07,54.28,54.28,54.28,54.28,000,54.28
2015-12-04,54.04,54.04,54.04,54.04,000,54.04
2015-12-03,55.62,55.62,55.62,55.62,000,55.62
2015-12-02,56.43,56.43,56.43,56.43,000,56.43
2015-12-01,56.14,56.14,56.14,56.14,000,56.14
2015-11-30,55.86,55.86,55.86,55.86,000,55.86
2015-11-27,55.39,55.39,55.39,55.39,000,55.39
2015-11-26,54.88,54.88,54.88,54.88,000,54.88
2015-11-25,54.84,54.84,54.84,54.84,000,54.84
2015-11-24,55.21,55.21,55.21,55.21,000,55.21
2015-11-23,55.12,55.12,55.12,55.12,000,55.12
2015-11-20,56.22,56.22,56.22,56.22,000,56.22
2015-11-19,56.62,56.62,56.62,56.62,000,56.62
2015-11-18,55.89,55.89,55.89,55.89,000,55.89
2015-11-17,56.03,56.03,56.03,56.03,000,56.03
2015-11-16,54.98,54.98,54.98,54.98,000,54.98
2015-11-13,56.04,56.04,56.04,56.04,000,56.04
2015-11-12,57.00,57.00,57.00,57.00,000,57.00
2015-11-11,56.65,56.65,56.65,56.65,000,56.65
2015-11-10,57.12,57.12,57.12,57.12,000,57.12
2015-11-09,57.51,57.51,57.51,57.51,000,57.51
2015-11-06,55.69,55.69,55.69,55.69,000,55.69
2015-11-05,55.48,55.48,55.48,55.48,000,55.48
2015-11-04,55.11,55.11,55.11,55.11,000,55.11
2015-11-03,55.39,55.39,55.39,55.39,000,55.39
2015-11-02,54.44,54.44,54.44,54.44,000,54.44
2015-10-30,54.55,54.55,54.55,54.55,000,54.55
2015-10-29,56.13,56.13,56.13,56.13,000,56.13
2015-10-28,55.63,55.63,55.63,55.63,000,55.63
2015-10-27,55.52,55.52,55.52,55.52,000,55.52
2015-10-26,55.43,55.43,55.43,55.43,000,55.43
2015-10-23,55.61,55.61,55.61,55.61,000,55.61
2015-10-22,54.05,54.05,54.05,54.05,000,54.05
2015-10-21,54.54,54.54,54.54,54.54,000,54.54
2015-10-20,54.78,54.78,54.78,54.78,000,54.78
2015-10-19,54.72,54.72,54.72,54.72,000,54.72
2015-10-16,54.07,54.07,54.07,54.07,000,54.07
2015-10-15,53.35,53.35,53.35,53.35,000,53.35
2015-10-14,52.64,52.64,52.64,52.64,000,52.64
2015-10-13,53.64,53.64,53.00,53.00,200,53.00
2015-10-12,53.72,53.72,53.72,53.72,000,53.72
2015-10-09,54.11,54.11,54.11,54.11,000,54.11
2015-10-08,53.28,53.28,53.28,53.28,000,53.28
2015-10-07,54.30,54.30,54.30,54.30,000,54.30
2015-10-06,53.60,53.60,53.60,53.60,000,53.60
2015-10-05,52.73,52.73,52.73,52.73,000,52.73
2015-10-02,52.08,52.08,52.08,52.08,000,52.08
2015-10-01,52.83,52.83,52.83,52.83,000,52.83
2015-09-30,51.96,51.96,51.96,51.96,000,51.96
2015-09-29,49.89,49.89,49.89,49.89,000,49.89
2015-09-28,52.40,52.40,52.40,52.40,000,52.40
2015-09-25,51.45,51.45,51.45,51.45,000,51.45
2015-09-24,50.80,50.80,50.80,50.80,000,50.80
2015-09-23,51.23,51.23,51.23,51.23,000,51.23
2015-09-22,53.74,53.74,53.74,53.74,000,53.74
2015-09-21,52.48,52.48,52.48,52.48,000,52.48
2015-09-18,55.32,55.32,55.32,55.32,000,55.32
2015-09-17,55.53,55.53,55.53,55.53,000,55.53
2015-09-16,55.38,55.38,55.38,55.38,000,55.38
2015-09-15,54.90,54.90,54.90,54.90,000,54.90
2015-09-14,55.49,55.49,55.49,55.49,000,55.49
2015-09-11,55.54,55.54,55.54,55.54,000,55.54
2015-09-10,55.74,55.74,55.74,55.74,000,55.74
2015-09-09,56.81,56.81,56.81,56.81,000,56.81
2015-09-08,54.46,54.46,54.46,54.46,000,54.46
2015-09-07,54.89,54.89,54.89,54.89,000,54.89
2015-09-04,55.07,55.07,55.07,55.07,000,55.07
2015-09-03,55.39,55.39,55.39,55.39,000,55.39
2015-09-02,54.67,54.67,54.67,54.67,000,54.67
2015-09-01,55.55,55.55,55.55,55.55,000,55.55
2015-08-31,55.60,55.60,55.60,55.60,000,55.60
2015-08-28,56.57,56.57,56.57,56.57,000,56.57
2015-08-27,55.99,55.99,55.99,55.99,000,55.99
2015-08-26,54.79,54.79,54.79,54.79,000,54.79
2015-08-25,53.47,53.47,53.47,53.47,000,53.47
2015-08-24,53.89,53.89,53.67,53.67,000,53.67
2015-08-21,56.26,56.26,56.26,56.26,000,56.26
2015-08-20,58.38,58.38,58.38,58.38,000,58.38
2015-08-19,58.39,58.39,58.39,58.39,000,58.39
2015-08-18,59.19,59.19,59.19,59.19,000,59.19
2015-08-17,58.77,58.77,58.77,58.77,000,58.77
2015-08-14,58.36,58.36,58.36,58.36,000,58.36
2015-08-13,58.81,58.81,58.81,58.81,000,58.81
2015-08-12,58.68,58.68,58.68,58.68,000,58.68
2015-08-11,59.86,59.86,59.86,59.86,000,59.86
2015-08-10,60.45,60.45,59.94,59.94,000,59.94
2015-08-07,60.55,60.55,60.55,60.55,000,60.55
2015-08-06,60.03,60.03,60.03,60.03,000,60.03
2015-08-05,60.21,60.21,60.21,60.21,000,60.21
2015-08-04,59.18,59.18,59.18,59.18,000,59.18
2015-08-03,59.06,59.06,59.06,59.06,000,59.06
2015-07-31,58.81,59.31,58.81,59.31,100,59.31
2015-07-30,56.51,57.24,56.51,57.24,100,57.24
2015-07-29,56.66,56.66,56.66,56.66,000,56.66
2015-07-28,55.87,55.87,55.87,55.87,000,55.87
2015-07-27,57.58,57.58,57.58,57.58,000,57.58
2015-07-24,56.81,56.81,56.81,56.81,000,56.81
2015-07-23,57.37,57.37,57.37,57.37,000,57.37
2015-07-22,56.60,56.60,56.60,56.60,000,56.60
2015-07-21,57.62,57.62,57.62,57.62,000,57.62
2015-07-20,57.39,57.39,57.39,57.39,000,57.39
2015-07-17,57.30,57.30,57.30,57.30,000,57.30
2015-07-16,56.88,56.88,56.88,56.88,000,56.88
2015-07-15,56.45,56.45,56.45,56.45,000,56.45
2015-07-14,55.83,55.83,55.83,55.83,000,55.83
2015-07-13,55.46,55.46,55.46,55.46,000,55.46
2015-07-10,54.11,54.11,54.11,54.11,000,54.11
2015-07-09,51.69,51.69,51.69,51.69,000,51.69
2015-07-08,50.49,50.49,50.49,50.49,000,50.49
2015-07-07,52.23,52.23,52.23,52.23,000,52.23
2015-07-06,52.70,52.70,52.70,52.70,100,52.70
2015-07-03,54.46,54.46,54.46,54.46,000,54.46
2015-07-02,55.59,55.59,55.17,55.17,100,55.17
2015-07-01,54.40,54.40,54.40,54.40,000,54.40
2015-06-30,54.59,54.59,54.59,54.59,000,54.59
2015-06-29,54.24,54.24,54.24,54.24,000,54.24
2015-06-26,56.63,56.63,56.63,56.63,000,56.63
2015-06-25,56.60,56.60,56.60,56.60,000,56.60
2015-06-24,57.36,57.36,57.36,57.36,000,57.36
2015-06-23,56.70,56.70,56.70,56.70,000,56.70
2015-06-22,53.36,53.36,53.36,53.36,000,53.36
2015-06-19,53.36,53.36,53.36,53.36,000,53.36
2015-06-18,53.15,53.15,53.15,53.15,000,53.15
2015-06-17,53.79,53.79,53.79,53.79,000,53.79
2015-06-16,53.06,53.06,53.06,53.06,000,53.06
2015-06-15,54.59,54.59,54.59,54.59,000,54.59
2015-06-12,55.96,55.96,55.96,55.96,000,55.96
2015-06-11,55.64,55.64,55.64,55.64,000,55.64
2015-06-10,54.01,54.01,54.01,54.01,000,54.01
2015-06-09,54.62,54.62,54.62,54.62,000,54.62
2015-06-08,55.53,55.53,55.53,55.53,000,55.53
2015-06-05,55.34,55.34,55.34,55.34,000,55.34
2015-06-04,55.91,55.91,55.91,55.91,000,55.91
2015-06-03,55.76,55.76,55.76,55.76,000,55.76
2015-06-02,54.83,54.83,54.83,54.83,000,54.83
2015-06-01,54.96,54.96,54.67,54.67,100,54.67
2015-05-29,55.97,55.97,55.97,55.97,000,55.97
2015-05-28,56.30,56.30,56.30,56.30,000,56.30
2015-05-27,55.55,55.55,55.55,55.55,000,55.55
2015-05-26,56.34,56.34,56.34,56.34,000,56.34
2015-05-25,56.44,56.44,56.44,56.44,000,56.44
2015-05-22,56.44,56.44,56.44,56.44,000,56.44
2015-05-21,56.58,56.58,56.58,56.58,000,56.58
2015-05-20,56.04,56.04,56.04,56.04,000,56.04
2015-05-19,57.35,57.35,57.35,57.35,000,55.85
2015-05-18,56.41,56.41,56.41,56.41,000,54.9346
2015-05-15,57.10,57.20,57.10,57.20,000,55.7039
2015-05-14,55.51,55.51,55.51,55.51,000,54.0581
2015-05-13,56.31,56.31,56.31,56.31,000,54.8372
2015-05-12,56.26,56.26,56.26,56.26,000,54.7885
2015-05-11,56.84,57.12,56.84,57.12,100,55.626
2015-05-08,56.26,56.26,56.26,56.26,000,54.7885
2015-05-07,55.21,55.21,55.21,55.21,000,53.766
2015-05-06,55.67,55.67,55.67,55.67,000,54.2139
2015-05-05,56.73,56.73,56.73,56.73,000,55.2462
2015-05-04,56.15,56.15,56.15,56.15,000,54.6814
2015-05-01,57.76,57.76,57.76,57.76,000,56.2493
2015-04-30,57.76,57.76,57.76,57.76,000,56.2493
2015-04-29,58.36,58.36,58.36,58.36,000,56.8336
2015-04-28,58.81,58.81,58.81,58.81,000,57.2718
2015-04-27,58.81,58.81,58.81,58.81,000,57.2718
2015-04-24,57.93,57.93,57.93,57.93,000,56.4148
2015-04-23,58.16,58.16,58.16,58.16,000,56.6388
2015-04-22,55.80,55.80,55.80,55.80,000,54.3405
2015-04-21,56.16,56.16,56.16,56.16,000,54.6911
